Title,Writer,Publisher,Run,Read,Random Comic,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Batman: Dark Victory,"Loeb, Jeph",DC,15.0,False,,,,,,,,,,,Batman: Dark Victory
Batman: Gotham After Midnight,"Niles, Steve",DC,15.0,False,,,,,,,,,,,Batman: Gotham After Midnight
Batman: Haunted Knight,"Loeb, Jeph",DC,3.0,False,,,,,,,,,,,Batman: Haunted Knight
Batman: Heart of Hush,"Dini, Paul",DC,7.0,False,,,,,,,,,,,Batman: Heart of Hush
Batman: Knight and Squire,"Cornell, Paul",DC,6.0,False,,,,,,,,,,,Batman: Knight and Squire
Batman: Long Halloween,"Loeb, Jeph",DC,13.0,False,,,,,,,,,,,Batman: Long Halloween
Batman: Night Cries,"Goodwin, Archie",DC,5.0,False,,,,,,,,,,,Batman: Night Cries
Batman: Streets of Gotham,"Dini, Paul",DC,21.0,False,,,,,,,,,,,Batman: Streets of Gotham
Batman: The Cult,"Starlin, Jim",DC,4.0,False,,,,,,,,,,,Batman: The Cult
Batman: The Dark Knight Returns,"Miller, Frank",DC,4.0,False,,,,,,,,,,,Batman: The Dark Knight Returns
Batman: The Killing Joke,"Moore, Alan",DC,3.0,False,,,,,,,,,,,Batman: The Killing Joke
Batman: The Long Halloween: The Last Halloween (2024),,,,,,,,,,,,,,,Batman: The Long Halloween: The Last Halloween (2024)
Batman: Year 100 & Other Tales,"Pope, Paul",DC,11.0,False,,,,,,,,,,,Batman: Year 100 & Other Tales
Batman: Year One,"Miller, Frank",DC,4.0,False,,,,,,,,,,,Batman: Year One
Batman/Teenage Mutant Ninja Turtles (Vol I and II),"Tynion IV, James",DC,12.0,False,,,,,,,,,,,Batman/Teenage Mutant Ninja Turtles (Vol I and II)
Batman/Teenage Mutant Ninja Turtles (Vol III),"Tynion IV, James",DC,6.0,False,,,,,,,,,,,Batman/Teenage Mutant Ninja Turtles (Vol III)
Battle Angel Alita,"Kishiro, Yukito",Manga,9.0,False,,,,,,,,,,,Battle Angel Alita
Battlefields,"Ennis, Garth",Dynamite,40.0,False,,,,,,,,,,,Battlefields
Batwoman,"Rucka, Greg",DC,10.0,False,,,,,,,,,,,Batwoman
Batwoman,"Bennet, Marguerite",DC,19.0,False,,,,,,,,,,,Batwoman
Beanworld,"Marder, Larry",Dark Horse,55.0,False,,,,,,,,,,,Beanworld
Beasts of Burden,"Dorkin, Evan",Dark Horse,20.0,False,,,,,,,,,,,Beasts of Burden
