Title,System,Year,Played,Rating,Random Game,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"Amazing Spider-Man, The",,2012,,7.7,,,,,,,,,,,,,The Amazing Spider-Man
America's Army,PC,,FALSE,82,,,,,,,,,,,,,America's Army
American Conquest,,2002,,7.6,,,,,,,,,,,,,American Conquest
American McGee's Alice,PC,,FALSE,85,,,,,,,,,,,,,American McGee's Alice
AMID EVIL,PC,,FALSE,85,,,,,,,,,,,,,AMID EVIL
Amnesia Collection,PS4,,TRUE,78,,,,,,,,,,,,,Amnesia Collection
Amnesia: Memories,,2013,FALSE,7.6,,,,,,,,,,,,,Amnesia: Memories
Amnesia: Rebirth,PC,,TRUE,80,,,,,,,,,,,,,Amnesia: Rebirth
Amnesia: The Bunker,PC,,TRUE,78,,,,,,,,,,,,,Amnesia: The Bunker
Amnesia: The Dark Descent,PC,,TRUE,85,,,,,,,,,,,,,Amnesia: The Dark Descent
Among Us,PC,,FALSE,85,,,,,,,,,,,,,Among Us
Among Us VR,PC,,FALSE,82,,,,,,,,,,,,,Among Us VR
Amped 2,Xbox,,FALSE,80,,,,,,,,,,,,,Amped 2
Amped 3,,2005,,7.5,,,,,,,,,,,,,Amped 3
Amplitude,PS2,,FALSE,86,,,,,,,,,,,,,Amplitude
An English Haunting,,2024,,7.8,,,,,,,,,,,,,
Anarchy Online: Shadowlands,PC,,FALSE,85,,,,,,,,,,,,,Anarchy Online: Shadowlands
Anarcute,PC,,FALSE,79,,,,,,,,,,,,,Anarcute
And Yet It Moves,Wii,,FALSE,83,,,,,,,,,,,,,And Yet It Moves
Andro Dunos 2,SWITCH,,FALSE,78,,,,,,,,,,,,,Andro Dunos 2
Anger Foot,,2024,,7.7,,,,,,,,,,,,,Anger Foot
Anger Foot,,2024,,7.7,,,,,,,,,,,,,
Animal Crossing,GAMECUBE,,FALSE,87,,,,,,,,,,,,,Animal Crossing
Animal Crossing: New Horizons,SWITCH,,FALSE,90,,,,,,,,,,,,,Animal Crossing: New Horizons
Animal Crossing: New Horizons - Happy Home Paradise,SWITCH,,FALSE,82,,,,,,,,,,,,,Animal Crossing: New Horizons - Happy Home Paradise
Animal Crossing: New Leaf,3DS,,FALSE,88,,,,,,,,,,,,,Animal Crossing: New Leaf
Animal Crossing: Pocket Camp,,2017,,7.7,,,,,,,,,,,,,Animal Crossing: Pocket Camp
Animal Crossing: Wild World,DS,,FALSE,86,,,,,,,,,,,,,Animal Crossing: Wild World
Animal Well,,2024,,8.8,,,,,,,,,,,,,
Animaniacs: Ten Pin Alley,,1998,,7.5,,,,,,,,,,,,,Animaniacs: Ten Pin Alley
Ankh: Battle of the Gods,,2007,,7.6,,,,,,,,,,,,,Ankh: Battle of the Gods
Ankh: Heart of Osiris,,2006,,7.5,,,,,,,,,,,,,Ankh: Heart of Osiris
Anna's Quest,,2015,,7.6,,,,,,,,,,,,,Anna's Quest
Anno 1602: Creation of a New World,,1998,,7.6,,,,,,,,,,,,,Anno 1602: Creation of a New World
Anno 1701: Dawn of Discovery,DS,,FALSE,78,,,,,,,,,,,,,Anno 1701: Dawn of Discovery
Anno 1800,PC,,FALSE,81,,,,,,,,,,,,,Anno 1800
Anno 1800 Console Edition,PS5,,FALSE,83,,,,,,,,,,,,,Anno 1800 Console Edition
Anno 2070,PC,,FALSE,83,,,,,,,,,,,,,Anno 2070
ANNO: Mutationem,SWITCH,,FALSE,78,,,,,,,,,,,,,ANNO: Mutationem
Anodyne 2: Return to Dust,,2019,,7.7,,,,,,,,,,,,,Anodyne 2: Return to Dust
Anomaly 2,,2013,,7.7,,,,,,,,,,,,,Anomaly 2
Anomaly Agent,,2024,,7.9,,,,,,,,,,,,,
Anomaly: Warzone Earth,PC,,FALSE,80,,,,,,,,,,,,,Anomaly: Warzone Earth
Anonymous;Code,SWITCH,,FALSE,86,,,,,,,,,,,,,Anonymous;Code
Another Code: Recollection,,2024,,7.7,,,,,,,,,,,,,Another Code: Recollection
Another Code: Recollection,,2024,,7.7,,,,,,,,,,,,,
Another Crab's Treasure,,2024,,7.9,,,,,,,,,,,,,
Another Fisherman's Tale,,2023,,7.6,,,,,,,,,,,,,Another Fisherman's Tale
Antichamber,PC,,FALSE,82,,,,,,,,,,,,,Antichamber
Antihero,PC,,FALSE,81,,,,,,,,,,,,,Antihero
Anvil of Dawn,,1995,,7.6,,,,,,,,,,,,,Anvil of Dawn
Aokana - Four Rhythms Across the Blue,SWITCH,,FALSE,78,,,,,,,,,,,,,Aokana - Four Rhythms Across the Blue
Ape Escape,PlayStation,,FALSE,90,,,,,,,,,,,,,Ape Escape
Ape Escape 2,PS2,,FALSE,82,,,,,,,,,,,,,Ape Escape 2
